"pid3","lr1","hs1","weight"
"Republican","L","Soft",1.45946174220574
"Republican","M","Hard",1.09844101349769
"Republican","L","Soft",0.9135255093121
"Republican","R","Soft",0.72502368212688
"Independent","R","Hard",0.886423740337394
"Republican","R","Soft",1.09844101349769
"Independent","R","Hard",1.27962247803388
"Independent","L","Hard",0.852201604368991
"Republican","R","Hard",0.667152939722186
"Independent","L","Hard",1.45946174220574
"Democrat","R","Soft",0.886423740337394
"Democrat","M","Soft",0.772340395644099
"Democrat","L","Soft",1.27962247803388
"Democrat","M","Soft",0.85988802357522
"Independent","R","Hard",0.96308780903132
"Republican","R","Hard",0.839335396975683
"Democrat","R","Hard",1.24131608111056
"Democrat",NA,NA,0.760915198379975
"Democrat","M","Hard",0.667152939722186
"Independent","R","Soft",0.899733457523381
"Independent","M","Soft",0.772340395644099
"Republican","R","Soft",0.930047793074134
"Republican","M","Soft",0.784179633860897
"Republican","L","Soft",0.886423740337394
"Independent","L","Hard",1.09844101349769
"Republican","R","Hard",0.72502368212688
"Independent","R","Soft",0.784179633860897
"Republican","R","Hard",0.667152939722186
"Independent","M","Hard",1.04662878320849
"Democrat","L","Hard",2.2993240550368
"Democrat","M","Hard",1.19372290937804
"Democrat","R","Hard",1.64892211171502
"Independent","R","Hard",0.826919145624216
"Democrat","M","Soft",0.9807374397777
"Independent","M","Soft",0.995463284047374
"Republican","R","Hard",0.772340395644099
"Republican","R","Hard",1.09844101349769
"Republican","L","Hard",0.839335396975683
"Democrat","M","Soft",0.803133244467788
"Republican","R","Hard",0.667152939722186
"Independent","M","Hard",0.760915198379975
"Democrat","L","Hard",1.19372290937804
"Independent","R","Hard",0.735909965653739
"Independent","R","Hard",0.826919145624216
"Independent","L","Hard",0.784179633860897
"Democrat","M","Soft",1.3965254245261
"Democrat","L","Hard",1.73094162842714
"Independent","M","Hard",0.839335396975683
"Independent","R","Hard",0.72502368212688
"Democrat","L","Soft",1.09844101349769
"Republican","R","Soft",1.05131070462811
"Democrat","M","Hard",0.677170289826238
"Independent","M","Soft",1.51764979639164
"Independent","R","Soft",1.27962247803388
"Democrat","L","Soft",1.24131608111056
"Independent","M","Hard",1.27962247803388
"Independent","M","Hard",0.772340395644099
"Independent","M","Hard",1.09844101349769
"Independent","M","Hard",0.826919145624216
"Republican","M","Hard",0.772340395644099
"Republican","L","Hard",1.19372290937804
"Independent","L","Soft",1.19372290937804
"Democrat","L","Hard",0.930047793074134
"Independent","M","Soft",0.667152939722186
"Independent","L","Hard",0.772340395644099
"Democrat","M","Hard",1.19372290937804
"Independent","M","Soft",1.19372290937804
"Democrat","M","Soft",1.59279433121954
"Republican","L","Hard",0.826919145624216
"Republican","M","Hard",1.01100250942223
"Independent","M","Soft",0.96308780903132
"Independent","R","Hard",0.839335396975683
"Independent","M","Hard",0.784179633860897
"Independent","M","Soft",1.09844101349769
"Democrat","R","Hard",1.02618278592251
"Independent","R","Hard",0.96308780903132
"Democrat","M","Hard",1.30277829703891
"Republican","R","Hard",1.09844101349769
"Democrat","L","Hard",0.687550661511841
